股票代號,股票,淨買超,收盤價,漲跌%,成交量,當日,累計15日
2637,慧洋-KY,405,"3,936",63.4,(-1.4%),"4,172"
2501,國建,400,"3,773",24,(0.84%),"2,008"
8011,台通,396,145,22.3,(2.53%),"1,413"
1301,台塑,387,"4,373",38.85,(-0.13%),"12,558"
3260,威剛,387,"3,182",188.5,(0.27%),"13,984"
2312,金寶,374,"-4,019",21.9,(1.15%),"15,496"
4760,勤凱,371,-167,173.5,(9.81%),"1,478"
2374,佳能,369,"-10,078",78.6,(-2.84%),"13,799"
8422,可寧衛,357,267,212,(2.42%),"1,696"
8042,金山電,355,40,48,(9.97%),"5,331"
6194,育富,354,12,39.65,(9.99%),769
6188,廣明,352,175,105.5,(1.93%),"1,642"
2464,盟立,351,"1,663",64.6,(4.03%),"2,845"
1905,華紙,349,-288,12.45,(1.22%),"1,922"
2498,宏達電,347,"-1,966",52,(0.78%),"9,610"
2880,華南金,342,"14,290",29.7,(-0.17%),"6,555"
2241,艾姆勒,328,"2,215",37.9,(3.55%),"1,710"
9955,佳龍,325,-192,31.2,(2.13%),"1,975"
3587,閎康,324,483,216,(2.61%),"1,209"
6530,創威,324,27,61.2,(9.87%),"2,256"
2838,聯邦銀,314,"9,430",19.95,(1.79%),"5,769"
6962,奕力-KY,305,-933,43.95,(1.38%),"1,627"
8121,越峰,302,-143,29.05,(9.83%),"2,221"
6584,南俊國際,298,-159,268.5,(7.83%),"2,437"
6190,萬泰科,297,-166,41.35,(1.97%),"1,393"
2367,燿華,294,-132,26.85,(1.32%),"3,412"
3234,光環,292,"-1,053",34.2,(9.97%),"1,278"
1569,濱川,283,"3,476",68.7,(1.33%),"6,005"
8070,長華*,279,"-4,768",44.2,(-0.9%),"3,041"
2340,台亞,267,"-1,336",26.15,(2.75%),"3,310"
3661,世芯-KY,267,"-1,178",3235,(4.86%),"2,211"
8069,元太,259,"-5,291",222,(2.3%),"3,002"
2405,輔信,247,"1,341",18.65,(1.36%),"1,775"
4566,時碩工業,247,266,58.7,(4.08%),968
2476,鉅祥,244,"1,210",101,(1.81%),"1,512"
6432,今展科,239,68,33.55,(10%),"1,297"
3529,力旺,230,-383,2370,(7.24%),"2,348"
6411,晶焱,227,61,76.5,(9.91%),826
8086,宏捷科,223,-551,105.5,(2.43%),"2,349"
8255,朋程,218,"-1,038",142.5,(4.4%),"1,290"
2614,東森,216,"1,029",21.35,(1.43%),"1,142"
2836,高雄銀,214,"2,158",12.2,(0%),"1,976"
5457,宣德,212,-881,48.5,(3.97%),886
3236,千如,210,"-1,018",22.4,(9.8%),"8,719"
5443,均豪,206,"-4,351",100,(1.11%),"1,536"
2489,瑞軒,205,"-3,388",15.25,(0.33%),"2,183"
9921,巨大,205,"-2,880",104,(1.46%),"1,272"
9935,慶豐富,203,-508,20.25,(6.58%),955
6284,佳邦,203,"-1,097",76.4,(4.66%),"7,004"
